id,period,model,prompt_type,question,gold_answer,model_answer,token_f1,sacrebleu,bertscore_f1,rouge1_f1,rougeL_f1,cosine_similarity
1309,pre1500,gpt-5-chat-latest,historian,What monumental building projects were associated with Justinian during his reign?,"Justinian's era was characterized by extensive **urban development and architectural projects** that reflected the ambition of his administration. Besides the iconic Hagia Sophia, Justinian also initiated restoration efforts for damaged structures and the building of new fortifications, which were essential for protecting the empire’s borders and maintaining stability. This focus on monumental architecture not only demonstrated power and wealth but also aimed to ensure the Byzantine Empire's cultural and religious legacy, showcasing Justinian's vision of a unified and glorious empire amidst the geopolitical fragmentation of the time.","Emperor Justinian I (r. 527–565 CE) is best known for an ambitious program of building that symbolized the strength and renewal of the Byzantine Empire. His most famous project was the Church of **Hagia Sophia** in Constantinople (modern Istanbul), completed in 537 CE after the original church was destroyed in the Nika Riot. Designed by the architects Anthemius of Tralles and Isidore of Miletus, its massive dome and innovative engineering made it one of the most impressive architectural achievements of the medieval world.  

Justinian also rebuilt or restored many other churches and fortifications throughout the empire. Notably, he commissioned the **Church of San Vitale** in Ravenna, renowned for its glittering mosaics portraying him and Empress Theodora. Across the empire, he strengthened the **walls of Constantinople**, constructed the **Church of the Holy Apostles**, and built or refurbished **aqueducts, bridges**, and **roads** to improve defense and communication.  

Together, these projects reflected Justinian’s vision of restoring imperial glory—expressing both religious devotion and imperial authority through monumental architecture.",0.15139442231075698,1.2990925393221826,0.8606383204460144,0.35294117647058826,0.196078431372549,0.81870055
228,pre1500,gpt-5-chat-latest,historian,What were the Vedas primarily used for in rituals within Aryan society?,"In Aryan society, the Vedas served an essential role in the transmission of cultural and religious beliefs through rituals that focused on divine worship and societal hierarchy. They facilitated the Aryans' understanding of the cosmos and moral conduct, as they offered explanations for existence through concepts like karma and samsara—ideas that were developed in later texts, such as the Upanishads. The rituals, which involved elaborate sacrifices and altars, emphasized the need for social order and adherence to inherited status, thereby leading to the establishment of the caste system. Furthermore, the Vedas provided a means of oral education for the illiterate, allowing knowledge of the sacred texts to influence the values and roles of different societal classes, ultimately shaping the very blueprint of Jain and Hindu traditions.","In early Aryan society, the **Vedas**—especially the *Rigveda*—served as sacred texts that guided the performance of rituals and sacrifices dedicated to various deities. These texts contained hymns (*mantras*), prayers, and chants that priests, known as **Brahmins**, recited to invoke divine powers for prosperity, health, victory, and harmony in both personal and communal life.  

The rituals centered around **fire sacrifices** (*yajnas*), which were believed to maintain the cosmic order (*rita*) and ensure the continued favor of the gods. The precise recitation and correct performance of these rituals were considered essential; mistakes were thought to disrupt the spiritual balance between humans and the divine.  

Thus, the Vedas were not merely religious scriptures but practical manuals for sacred rites. They defined the roles of priests, structured the rhythm of religious life, and reinforced social and cosmic order, making them foundational to the spiritual and ritual practices of Aryan society.",0.18382352941176472,4.539395917860904,0.86759352684021,0.4363636363636364,0.2545454545454546,0.79849535
51,pre1500,gpt-5-chat-latest,historian,What do the Twelve Tribes of Israel descend from according to the text?,"In examining the origins of the Twelve Tribes of Israel, the text indicates that they can be traced back to Jacob, the son of Isaac and grandson of Abraham. Abraham, a significant patriarch in Hebrew history, plays a crucial role as he is noted to have migrated from Ur to Canaan, establishing a new home for his family. This journey signifies not only physical relocation but also the spiritual and cultural evolution of the Hebrews. Thus, the tribes emerge from a familial lineage that is foundational to their identity and societal structure, showcasing the importance of these biblical figures in the religious narratives that have been preserved over centuries.","According to the Hebrew Bible, the Twelve Tribes of Israel trace their descent from the twelve sons of Jacob, who was also called Israel after an encounter with God. Jacob was the grandson of Abraham and the son of Isaac, making the tribes part of the larger Abrahamic lineage. Each of Jacob’s sons became the patriarch, or symbolic ancestor, of a tribe that carried his name—such as Judah, Levi, and Benjamin.  

Two of Jacob’s grandsons, Ephraim and Manasseh, the sons of Joseph, each became heads of distinct tribes, bringing the total to twelve tribal groups despite the special role of the Levites as a priestly class rather than a land-holding tribe. The identity and history of these tribes became central to the formation of ancient Israelite society, shaping their territorial divisions, social organization, and religious traditions as recounted in the biblical books of Genesis, Exodus, and Joshua.",0.1875,7.092014565284088,0.8648732304573059,0.39230769230769236,0.2153846153846154,0.8441218
1518,pre1500,gpt-5-chat-latest,historian,What were the two main groups involved in the conflicts described during Muhammad's last years?,"During Muhammad's last years, the two primary groups involved in the conflicts were the **Muslim community in Medina** and the **Meccan Quraysh tribe**. The Muslims, led by Muhammad, faced fierce opposition from their former brethren who resided in Mecca. This ongoing conflict was not just a struggle between different faiths but was also steeped in familial ties, as many individuals on both sides had blood relations despite their differing beliefs. The culmination of this conflict occurred when the Quraysh tribe surrendered in 630, which allowed Muhammad to cleanse the Kaaba of its polytheistic idols, fulfilling a crucial spiritual and communal objective for the emergent Muslim ummah.","During the last years of the Prophet Muhammad’s life (around 627–632 CE), the two main groups involved in the conflicts were the Muslims of Medina and various Arabian tribes that either opposed or allied with them.  

One major opposing group was the **Quraysh of Mecca**, who had long resisted Muhammad’s religious message and political leadership. Their hostility led to several military encounters, including the Battle of the Trench (627 CE). However, after the **Treaty of Hudaybiyyah** and the eventual **peaceful conquest of Mecca** in 630 CE, most Quraysh converted to Islam.

The second major group consisted of **Arab tribes across the Arabian Peninsula**. Some allied themselves with Muhammad and accepted Islam, while others either resisted his authority or broke their alliances after Mecca’s conquest. These conflicts culminated in the so-called **Wars of Apostasy (Ridda Wars)** immediately after Muhammad’s death, as the early Muslim community worked to maintain the unity of Arabia under Islamic rule.

Thus, in summary, the central conflicts were between the Muslim community and the Quraysh, and later, between the Muslims and various Arabian tribes regarding political allegiance and religious faith.",0.1730103806228374,6.074197149107375,0.862877368927002,0.359322033898305,0.22372881355932203,0.81162083
563,pre1500,gpt-5-chat-latest,historian,What role did enslaved people play in the agricultural system of Aksumite society?,"In the context of Aksumite society, enslaved individuals were not only integral to the agricultural workforce but also indicative of the social hierarchy present at the time. The existence of the enslaved class underpinned the economic prosperity of the kingdom, especially during its height from the third to the sixth century CE, when trade and agricultural output were crucial. These enslaved workers likely contributed significantly to estate management and agricultural practices, enabling the nobility to focus on governance and trade relationships. Therefore, the reliance on enslaved labor reflected both the economic necessities of farming and the societal structures that supported Aksum's power within the region.","Enslaved people played a significant but varied role in the agricultural system of Aksumite society (c. 1st–7th centuries CE). The Kingdom of Aksum, located in present-day Ethiopia and Eritrea, depended heavily on agriculture—particularly grain, barley, and teff production—as the foundation of its economy. Enslaved individuals were part of the labor force that supported this system.

They worked on royal and elite estates, tending crops, caring for livestock, and maintaining irrigation systems. Some may have been war captives or obtained through trade, reflecting Aksum’s involvement in regional and long-distance slave networks across the Red Sea and the Nile Valley. While many enslaved people performed manual agricultural labor, others might have been used in domestic service or artisanal production.

Their labor contributed directly to the surplus goods that sustained Aksum’s urban centers, funded monumental building projects, and supplied exports—helping to sustain the kingdom’s wealth and political power. Thus, enslaved people were an essential, though marginalized, component of Aksum’s agrarian economy and social hierarchy.",0.13533834586466167,2.2072157024591883,0.8714551329612732,0.37681159420289856,0.18115942028985507,0.8503288
501,pre1500,gpt-5-chat-latest,historian,What was the impact of the Edict of Milan on the legality of Christianity in the Roman Empire?,"In issuing the **Edict of Milan**, Emperor **Constantine** effectively transformed the status of Christianity from one of illegality to a recognized and tolerated religion within the Roman Empire. The edict came as a response to the previous waves of persecution, notably during the reigns of emperors such as **Nero** and **Diocletian**, who sought to suppress Christianity by destroying churches and punishing non-compliance with traditional sacrificial rites. The legalization of Christianity not only alleviated the immediate threat of persecution but also fostered a new era of Christian identity and community. The commitment to religious toleration outlined in the edict empowered Christians to openly practice their faith, which previously had to be conducted in secret, thus promoting the establishment of congregations and the rapid growth of Christianity as a significant cultural force in the empire.","The Edict of Milan, issued in 313 CE by the emperors Constantine I and Licinius, marked a turning point in the status of Christianity within the Roman Empire. Before this decree, Christians had faced periods of harsh persecution, property confiscation, and social marginalization because they refused to worship the Roman gods or the emperor.  

The Edict of Milan declared that all citizens were free to practice whatever religion they chose, without interference from the state. Importantly, it granted Christianity the same legal protections as traditional Roman religions, effectively ending official persecution. Christians were allowed to worship openly, rebuild churches, and reclaim confiscated property.  

While the edict did not make Christianity the empire’s official religion—that would come later under Emperor Theodosius—it laid the foundation for Christianity’s growth and eventual dominance. By legitimizing Christian worship, it shifted the religion from a persecuted sect to a tolerated, and soon influential, faith within Roman society.",0.2183098591549296,7.7254996658075115,0.8829771280288696,0.46366782006920415,0.22837370242214533,0.88488215
457,pre1500,gpt-5-chat-latest,historian,What revolutionary communication tool was developed during the Iron Age?,"The **alphabet**, introduced by the Phoenicians during the Iron Age, represents a foundational change in communication methods of the time. Unlike earlier writing systems, which were often complex and limited to elite use, the Phoenician alphabet was simpler, making it accessible to a broader population. This democratization of writing enabled increased literacy among diverse groups, including traders and local artisans, which was crucial for the flourishing trade networks across the Mediterranean. The spread of the alphabet further led to interactions among different cultures, helping to foster economic and social ties during a pivotal era of cultural development.","During the Iron Age, one of the most revolutionary communication tools developed was **the alphabet**. Earlier writing systems, like cuneiform and Egyptian hieroglyphs, were complex and required years of training to master. The alphabet, first developed by the Phoenicians around 1200 BCE, simplified communication by using a small set of symbols to represent individual sounds rather than entire words or syllables.  

This innovation made reading and writing more accessible to ordinary people, not just scribes or elites. The Phoenician alphabet spread through trade networks across the Mediterranean, influencing later systems such as the Greek and Latin alphabets, which became the foundation for many modern languages.  

The alphabet transformed how societies recorded history, transmitted knowledge, and carried out commerce. It allowed for more rapid and widespread dissemination of ideas, helping unify languages and cultures across great distances. In short, the invention of the alphabet during the Iron Age marked a major milestone in human communication and literacy, shaping written expression for millennia.",0.23255813953488372,8.742367274742664,0.8850021362304688,0.44961240310077516,0.24031007751937983,0.8719992
285,pre1500,gpt-5-chat-latest,historian,What role did the Palk Strait play in the Chola's control of maritime trade during their golden age?,"In terms of geopolitical strategy, the Palk Strait functioned as an essential artery for the Chola's maritime dominance during their period of expansion. This control was critical in ensuring the safe passage of trade, which included spices, textiles, and other goods, directly contributing to the wealth of the Chola Empire. By restricting access and enhancing trade tariffs in the Palk Strait, the Cholas effectively exerted control over regional trade dynamics. Furthermore, this strategic advantage allowed the Cholas to weaken rival states, as illustrated by their naval operations against Srivijaya, which not only decimated their port systems but also served as a deterrent against other potential threats. Thus, the Palk Strait was not just a geographical feature; it was a key element in the economic strategy that fueled the Chola Empire's status and power during its golden age.","The Palk Strait, a narrow stretch of water between the southeastern coast of India and northern Sri Lanka, played a crucial role in the Chola Empire’s maritime dominance during their golden age (9th–13th centuries CE). It functioned as a key maritime corridor linking the Coromandel Coast—home to major Chola ports like Nagapattinam and Kaveripattinam—with the wider Indian Ocean trade network.  

By controlling the Palk Strait, the Cholas were able to regulate and protect trade routes connecting South India to Sri Lanka, Southeast Asia, and beyond. This control ensured the smooth movement of valuable goods such as spices, textiles, and precious stones, while also allowing the Cholas to levy taxes and assert naval power. Furthermore, Chola expeditions to Sri Lanka and their overseas campaigns in Southeast Asia relied on mastery of the Strait for swift military and commercial navigation.  

In essence, the Palk Strait was not just a geographical feature but a strategic maritime gateway that underpinned the Chola Empire’s economic prosperity and naval supremacy across the Indian Ocean.",0.24918032786885244,16.25081675409903,0.8848873972892761,0.49677419354838714,0.27096774193548384,0.87422407
1508,pre1500,gpt-5-chat-latest,historian,"What significant migration of Homo sapiens occurred around 100,000 years ago?","Around **100,000 years ago**, significant groups of **Homo sapiens** began leaving the **African continent**, marking the start of a global migration that would extend for tens of thousands of years. This migration initiated after groups crossed the **Sinai Peninsula** into **southwest Asia**. Early human populations likely traveled along the coastal routes, eventually reaching regions such as **India** and **China** by approximately **70,000 years ago**. These movements not only expanded the geographic distribution of our species but also continued into areas like **Malaysia**, **Indonesia**, and ultimately to the shores of **Australia** and **Papua New Guinea**, where evidence of settlements can be traced back at least **45,000 years**. The migration was driven by resource scarcity due to increasingly dry conditions in Africa, compelling these hunter-gatherer groups to seek out essential survival resources.","Around 100,000 years ago, a significant migration of *Homo sapiens* began out of Africa, marking the start of our species’ global dispersal. Prior to this, modern humans had evolved in Africa, where they developed advanced tools, symbolic behavior, and social networks. Environmental changes, population pressures, and the search for new resources likely encouraged some groups to move into new regions.  

The earliest evidence of this migration appears in the Levant—sites in modern-day Israel and surrounding areas—showing *Homo sapiens* remains and tools dating to about 100,000–80,000 years ago. While some of these early migrants may not have established permanent populations outside Africa, later waves around 70,000–60,000 years ago successfully spread across Asia, Europe, and eventually Australia.  

This outward movement ultimately replaced or interbred with older human species such as Neanderthals and Denisovans, leading to the wide geographic and genetic diversity of modern humans today.",0.29304029304029305,10.711736508791983,0.8834779262542725,0.46689895470383275,0.22996515679442509,0.82123214
209,pre1500,gpt-5-chat-latest,historian,What were the main factors that led to the aversion to Mongol rule in China in the mid-fourteenth century?,"The aversion to Mongol rule in China during the mid-fourteenth century can be attributed to multiple interrelated factors:

1. **Political Instability**: By the early fourteenth century, the Mongol Empire was characterized by political instability and shifting relationships with the peoples they had conquered. Such instability was felt at the local levels in China, contributing to dissatisfaction with Mongol leadership.
2. **Economic Crisis**: The combination of rapid inflation and the impact of the bubonic plague devastated the economy, severely undermining the credibility of the Yuan dynasty and increasing the hardship faced by the populace.
3. **Cultural Assimilation and Conflict**: Despite being at the heart of the Mongol Empire, the contrasting cultural practices led to a perception of Mongols as outsiders, intensifying sentiments against Mongol governance.

These factors together created an environment ripe for rebellion, ultimately leading to the rise of the Ming dynasty after the downfall of the Yuan in 1368.","The aversion to Mongol rule in China during the mid‑fourteenth century stemmed from a combination of economic hardship, social discrimination, political corruption, and natural disasters. Under the Yuan dynasty, founded by the Mongols, heavy taxation and forced labor placed severe burdens on the Chinese peasantry. Inflation and the decline of the paper currency further deepened economic distress.  

Socially, the Mongols maintained a rigid ethnic hierarchy that privileged Mongols and Central Asians over the native Han Chinese, excluding them from many government posts and fostering deep resentment. Corruption and incompetence among Yuan officials eroded public trust and weakened administrative control.  

At the same time, widespread floods, famines, and epidemics devastated northern China, which many interpreted as signs that the Mongols had lost the “Mandate of Heaven.” These intertwined grievances ignited revolts, including the Red Turban uprisings, which eventually culminated in the fall of the Yuan dynasty and the rise of the Ming in 1368.",0.17821782178217824,12.757210879953075,0.8819320797920227,0.4196721311475409,0.28196721311475414,0.8280239
