id,prompt_style,question,gold,raw_answer,final_answer,f1,bleu,bert_f1,hallu_label
1125,direct,What kingdom came into existence due to conflicts with northern groups such as the Khitan and Xianbei?,"In direct response to the threats posed by northern groups such as the Khitan and Xianbei, the Goguryeo kingdom was established. Throughout its history, particularly from the late fourth century onwards, Goguryeo's militaristic endeavors, spearheaded by King Gwanggaeto, were a defining factor in its expansionist strategies. Beyond mere warfare, Goguryeo engaged in significant diplomatic efforts to create alliances that would help strengthen its position against these northern adversaries. Additionally, the kingdom's cultural advancements, such as adopting written scripts and enhancing its royal funerary practices with murals, underscore the transformation that arose from these northern conflicts, weaving together military action and cultural sophistication into its identity.",The Kingdom of Goryeo came into existence due to conflicts with northern groups such as the Khitan and Xianbei.,The Kingdom of Goryeo came into existence due to conflicts with northern groups such as the Khitan and Xianbei.,0.2222222222222221,0.2270114821468258,0.89269954,1
1030,direct,What were the lifestyles of the different populations in the Maghreb at the time of Carthage's founding as described in the text?,"The distinct populations in the Maghreb at the time of Carthage's founding exhibited varied lifestyles based on their geographic settings. The settled farmers on the coastal plains focused on agricultural practices, utilizing the advantages of fertile land to grow crops. Alternatively, the seminomadic pastoralists of the Atlas Mountains adapted their way of life to a more mobile existence, managing livestock and shifting with the seasons. In the Sahara, nomadic tribes thrived in the arid conditions, navigating the desert and engaging in trade. This diversity illustrates the complexities of the Maghreb's early societies; despite being collectively referred to as Berbers, each ethnic group, such as the Musulamii and Gaetuli, developed sophisticated cultures and social systems that defied the simplistic label imposed by outsiders.","At the time of Carthage's founding, the Maghreb populations included sedentary agricultural communities, nomadic pastoralists, and coastal traders.","At the time of Carthage's founding, the Maghreb populations included sedentary agricultural communities, nomadic pastoralists, and coastal traders.",0.2097902097902098,0.1418675658810376,0.8800919,0.5
1449,direct,"What was the original intention of Imhotep's design for the king's tomb, and what was the final architectural structure he created?","Originally, Imhotep intended to create a stone mastaba for the pharaoh Djoser during the Early Dynastic period, which represented a continuation of the established burial practices of the time. The mastaba, made of mud-brick until then, was crucial for housing the physical body and its Ka, tied to the spiritual beliefs in the afterlife. However, as the project progressed, Imhotep's architectural ingenuity shone through as he added multiple smaller mastabas to create a tiered structure. The resulting step pyramid not only fulfilled the functional requirements of a tomb but also symbolized a significant departure from traditional designs, marking an important evolution in ancient Egyptian architecture and serving as a testament to Imhotep's vision and creativity.","Imhotep originally intended to build a traditional mastaba tomb for the king, but he ultimately created the Step Pyramid of Djoser, the first large-scale stone pyramid.","Imhotep originally intended to build a traditional mastaba tomb for the king, but he ultimately created the Step Pyramid of Djoser, the first large-scale stone pyramid.",0.2620689655172413,0.1854186353185425,0.87391925,0
1493,direct,What are the primary labor activities of rural peoples in Southeast Asia today?,"The primary labor activities of rural peoples in Southeast Asia today are deeply rooted in traditional practices, primarily revolving around farming and fishing. For instance, rice cultivation continues to play a critical role, utilizing skill and cooperation, particularly in terraced rice paddies. This collective effort not only sustains the local economy but also fosters village leadership and unity among families. Elders, who are often key figures in this process, apply their extensive knowledge in selecting rice breeds, managing resources, and facilitating community discussions that emphasize respect for seniority and traditional values.","The primary labor activities of rural peoples in Southeast Asia today are agriculture, including rice farming, fishing, and small-scale animal husbandry.","The primary labor activities of rural peoples in Southeast Asia today are agriculture, including rice farming, fishing, and small-scale animal husbandry.",0.2831858407079646,1.411165210129158,0.889361,0.5
344,direct,How did Venetian merchants influence the Fourth Crusade? What was Pope Innocent III's stance on this influence?,"The influence of Venetian merchants on the Fourth Crusade was significant, as they provided the necessary transportation and supplies to the crusaders. However, this came at a cost, leading to substantial debt. Rather than continuing the campaign against the Muslims in Egypt, the crusaders were coerced into conquering Zadar (modern-day Croatia) to settle their financial obligations. This shift in focus not only deviated from the original goal of reclaiming the Holy Land but also marked a critical distraction of efforts that had been envisioned by Pope Innocent III.   * Key Points:   * The Venetian merchants' insistence on taking Zadar indicates their economic leverage in the situation.   * The diversion from the crusade's intended target highlights the complexity of Venice's role in the Crusades.","Venetian merchants influenced the Fourth Crusade by redirecting it to capture Constantinople for Venice's commercial gain, while Pope Innocent III disapproved of this diversion from the original goal of reclaiming Jerusalem.","Venetian merchants influenced the Fourth Crusade by redirecting it to capture Constantinople for Venice's commercial gain, while Pope Innocent III disapproved of this diversion from the original goal of reclaiming Jerusalem.",0.2709677419354838,1.047864173363873,0.8785343,1
1022,direct,How did the crowd and the emperor influence the outcome of gladiatorial matches?,"The emperor played a pivotal role in determining the fate of gladiators through his signals of approval or disapproval during matches. Specifically, the emperor's gestures—such as a 'thumb up' indicating that a wounded gladiator should be spared or a 'thumb down' suggesting execution—could directly alter the outcome of an encounter. This authoritative influence not only shaped the lives of individual gladiators but also reflected the broader societal and political control the emperor exercised over public spectacles. Such decisions made by the emperor also likely impacted the morale and strategy of the gladiators, knowing that their survival could hinge on fleeting gestures from the highest authority in the arena.",The crowd's reactions and the emperor's gestures often determined a gladiator's fate by signaling whether they should be spared or killed.,The crowd's reactions and the emperor's gestures often determined a gladiator's fate by signaling whether they should be spared or killed.,0.2074074074074074,0.2382381901097805,0.88208544,0
1681,direct,How did Aksum's isolation influence its version of Christianity compared to Mediterranean communities?,"The isolation of Aksum from the broader Christian world resulted in significant differences in its religious expression compared to Mediterranean communities. This geographic separation contributed to the evolution of Christianity in Aksum, where local adaptations took precedence over external influences. For instance, the absence of competition with other religious practices, typical in densely populated urban centers in the Mediterranean, allowed Aksum to cultivate a form of Christianity that aligned closely with ascetic traditions. The monasteries in remote areas became centers for spiritual learning and retreat, distinguishing Aksumite Christianity by its emphasis on asceticism and community life. Additionally, while Mediterranean Christians engaged in theological debates—such as those surrounding Nestorian Christianity—Aksum's isolation afforded it an independent path, fostering a version of Christianity that integrated local customs without the immediate pressure of doctrinal disputes prevailing elsewhere.","Aksum's isolation led to the development of a distinct form of Christianity that incorporated local traditions and maintained the use of Ge'ez, differing from the theological and liturgical practices of Mediterranean Christian communities.","Aksum's isolation led to the development of a distinct form of Christianity that incorporated local traditions and maintained the use of Ge'ez, differing from the theological and liturgical practices of Mediterranean Christian communities.",0.2923976608187134,0.5364782003627641,0.87559843,0.5
322,direct,What pilgrimage did Mansa Musa undertake between 1324 and 1325?,"Mansa Musa's pilgrimage from 1324 to 1325 was a significant journey to Mecca and Egypt, marking a pivotal moment in the history of the Mali Empire. This pilgrimage is noted for its grandeur; Mansa Musa traveled with a massive caravan that included sixty thousand soldiers, five hundred captives, and hundred camel-loads of gold. Upon reaching Cairo, he received a royal welcome from the Sultan of Egypt, given their shared faith as Muslims. Mansa Musa famously distributed so much gold during his visit that it caused the value of gold in Cairo to plummet and took twelve years to recover, thereby demonstrating both his immense wealth and the economic impact of his journey.","Mansa Musa undertook the Hajj, the Islamic pilgrimage to Mecca, between 1324 and 1325.","Mansa Musa undertook the Hajj, the Islamic pilgrimage to Mecca, between 1324 and 1325.",0.15625,0.0027558393997011,0.87846935,0
1404,direct,What title did Hulagu adopt after Kublai was recognized as the great khan?,"After Kublai was recognized as the great khan, Hulagu adopted the title of il-khan, which translates to *lesser khan*. This title signified his position as a subordinate ruler within the fragmented Mongol Empire that emerged following the death of Mongke and subsequent power struggles among the khans. Hulagu established his domain known as the Il-Khanate, pursuing independent policies while acknowledging Kublai's supremacy. This shift to different khanates marked a significant transformation in the political landscape of the Mongol territories, leading to distinct administrative practices and cultural developments in each region.",Hulagu adopted the title of Ilkhan after Kublai was recognized as the Great Khan.,Hulagu adopted the title of Ilkhan after Kublai was recognized as the Great Khan.,0.2429906542056074,0.1022613960664406,0.88362634,0
339,direct,How did the Shia view Ali's leadership and its significance for their identity?,"The Shia perspective on Ali's leadership diverges significantly from that of the Sunni majority, who chose Abu Bakr as the first leader post-Muhammad. For the Shia, Ali's leadership is not only significant for its political implications but also for its spiritual dimensions. They regard him as the rightful successor, reflecting a commitment to the Prophet's family that extends beyond mere governance. The Shia's reverence for Ali is intertwined with their devotion to the principles of justice and resistance against tyranny, especially highlighted by the brutal events at Karbala. This struggle shapes their identity, as they see their faith as one in defense of Ali's legacy and the continued relevance of his family's role in Islamic governance.   - Faith and Leadership: Shia Muslims view Ali as a symbol of righteous leadership and morality. - Conflict and Identity: The ongoing commemorative practices related to Ali's descendants serve to reinforce Shia identity, underscoring the group's historical narratives of struggle and sacrifice.","The Shia viewed Ali's leadership as divinely appointed and central to their religious identity, seeing him as the rightful successor to Muhammad and the first Imam whose authority was both spiritual and political.","The Shia viewed Ali's leadership as divinely appointed and central to their religious identity, seeing him as the rightful successor to Muhammad and the first Imam whose authority was both spiritual and political.",0.2311557788944724,0.2735894011666531,0.87824994,0.5
