year,question,difficulty,correct_answer,gpt_answer,score
1850,What were Xiuquan's views on property and gender roles compared to traditional Chinese practices?,0.5844642857142855,"In examining Xiuquan's views on property, one can see a clear **rejection of traditional norms** found in Chinese society. Xiuquan's insistence on the **abolition of private property** attracted many followers who were disillusioned with the existing feudal and economic hierarchies. Traditional Chinese practices were deeply entrenched in principles of familial loyalty and property ownership, where land and wealth were passed down through generations. By challenging these notions, Xiuquan sought to dismantle the existing social structures and foster a sense of community ownership among the peasantry, thus promising a more egalitarian community.

On the subject of **gender roles**, Xiuquan's advocacy for the separation of sexes marked a significant departure from traditional practices. He asserted that men and women should exist in distinct civil and military spheres, promoting a highly organized and regulated view of social interaction based on gender. This perspective contrasted with historical Chinese customs that allowed for more fluid interactions between genders in various social contexts. Furthermore, Xiuquan’s prohibitions against prostitution and drug use highlight his efforts to redefine morality and societal standards in a way that was distinctively different from the existing norms. His agenda aimed at reshaping gender relations was part of a broader vision to create a society rooted in his radical interpretations of faith and governance.

Thus, Xiuquan's views fundamentally challenged and aimed to redefine established norms regarding property and gender, demonstrating a comprehensive yet divisive vision for society.","Hong Xiuquan, leader of the Taiping Rebellion (1850–1864), advocated radical changes to traditional Chinese views on property and gender roles. Unlike traditional Confucian China, which emphasized hierarchical family structures and private landownership, Xiuquan promoted communal ownership of land and resources, aiming to abolish private property to reduce social inequalities. Regarding gender roles, he advanced more progressive ideas: Taiping policies encouraged gender equality, banning foot-binding, allowing women to serve in the military, and promoting female education and participation in public life. These views starkly contrasted with traditional patriarchal norms, challenging established Confucian gender hierarchies and social order.",0.5
1789,How many members did each Estate elect to the Estates-General?,0.5559499999999999,"The Estates-General, which was convened by King Louis XVI, consisted of three distinct estates that each elected their own representatives. Specifically, each of the First Estate (the clergy) and the Second Estate (the nobility) elected 300 members. In addition, due to their significant population size, the Third Estate was allowed to elect 600 members, making a total of 1,200 representatives for the Estates-General. This allocation reflects the structured social hierarchy of the time, despite the Third Estate representing the majority of the French population.","In the Estates-General of 1789, each of the three Estates—the First Estate (clergy), the Second Estate (nobility), and the Third Estate (commoners)—elected roughly the same number of deputies, about 300 each. Specifically, the First Estate elected around 291 members, the Second Estate about 270, and the Third Estate approximately 600 deputies. However, the Third Estate was often granted double representation compared to the other estates to better reflect its larger population. Despite this, voting was traditionally done by Estate, not by head, which meant the First and Second Estates could outvote the Third Estate, contributing to tensions that led to the French Revolution.",0.5
1603,What was the duration of the Tokugawa shogunate's rule in Japan?,0.2738454545454543,"The duration of the Tokugawa shogunate's rule in Japan was **from 1603 to 1867**, spanning **250 years**. Established after a series of conflicts during the Warring States period, its primary focus was on maintaining stability and centralizing power under the shogun while minimizing foreign influence. The shogunate implemented policies such as the expulsion of foreigners and the repression of Christianity, fearing that these could threaten the established social order. This long-lasting government fostered a unique social structure categorized into warriors, farmers, artisans, and merchants, significantly shaping Japanese society during this era.","The Tokugawa shogunate, also known as the Edo period, ruled Japan from 1603 to 1868. Established by Tokugawa Ieyasu after his victory at the Battle of Sekigahara in 1600, this feudal military government brought about over 250 years of relative peace, stability, and isolation from foreign influence. The shogunate centralized power, controlling the daimyo (regional lords) and enforcing a strict social order. Its rule ended in 1868 during the Meiji Restoration, when imperial power was restored under Emperor Meiji, leading to modernization and the end of feudal Japan. Thus, the Tokugawa shogunate lasted approximately 265 years.",1
1919,"What year did Hitler become a member of the German Workers' Party, and how did he rise within the party?",0.3190499999999996,"Hitler joined the German Workers' Party in **1919**, which marked the beginning of his political journey. His rise within the party was characterized by his ability to galvanize support through dynamic public speaking and effective propaganda. As he gained traction, Hitler was pivotal in transforming the party into the National Socialist Workers Democratic Party, where he not only designed the party’s emblem but also consolidated his power, becoming its leader by **1921**. Ultimately, his leadership was underscored by a strategic shift from seeking a coup to mobilizing mass support, especially during the economic turmoil in Germany, which heightened his influence.","Adolf Hitler became a member of the German Workers' Party (Deutsche Arbeiterpartei, DAP) in 1919. Initially, he joined as an informant for the German Army, tasked with monitoring the party's activities. However, he quickly became captivated by its nationalist and anti-Semitic ideology. Hitler’s oratory skills and propaganda prowess helped him rise rapidly within the party. By 1920, he was instrumental in renaming it the National Socialist German Workers' Party (NSDAP or Nazi Party). His leadership qualities led to his appointment as the party’s chairman in 1921, solidifying his control and setting the stage for his future political ascendancy.",0.5
1776,What document did Thomas Jefferson author that expressed the natural rights of individuals and the purpose of government?,0.7123499999999998,"Thomas Jefferson authored the **Declaration of Independence**, a pivotal document that articulated the concept of natural rights and the role of government. In this document, Jefferson drew heavily from the Enlightenment ideas of thinkers such as John Locke, asserting that individuals possess natural rights to **life, liberty, and the pursuit of happiness**. He emphasized that the fundamental purpose of government is to protect these rights, and if a government fails to do so or acts against the rights of its citizens, it is not only the right but the duty of the people to **overthrow** that government. The Declaration was adopted on **July 4, 1776**, and it was a defining moment in the American Revolution, officially stating the colonies' intention to sever ties with British rule.","Thomas Jefferson authored the Declaration of Independence in 1776, a foundational document expressing the natural rights of individuals and the purpose of government. In this document, Jefferson articulated the Enlightenment principles that all people are endowed with unalienable rights, including ""Life, Liberty, and the pursuit of Happiness."" He argued that governments are instituted to secure these rights and derive their just powers from the consent of the governed. Furthermore, Jefferson asserted that when a government becomes destructive of these rights, the people have the authority to alter or abolish it and establish a new government that will better ensure their safety and happiness.",0
1876,What invention did Alexander Graham Bell create that changed the world?,0.42766363636363625,"The world-changing invention of the **telephone** by Alexander Graham Bell marked a pivotal moment in the evolution of communication technology. While Bell's early focus was on aiding the hearing-impaired, his success in creating an effective means of sound transmission led to a broader application—the telephone. Obtaining a patent in **1876**, Bell's invention quickly demonstrated its potential for commercial use. Ultimately, the telephone played a crucial role in advancing communication methods, setting the stage for the fast-paced exchange of information that characterizes modern society today.","Alexander Graham Bell invented the telephone, a groundbreaking device that transformed global communication. Patented in 1876, the telephone enabled the transmission of voice over long distances, replacing slower and less personal methods like telegraphs and letters. This invention revolutionized how people connected, facilitating instant communication for personal, business, and emergency purposes. It paved the way for the development of the modern telecommunications industry, including mobile phones and the internet. Bell’s telephone fundamentally changed social interactions, commerce, and information exchange, making it one of the most influential inventions in history.",0
1517,What was the primary outcome of the Protestant Reformation for the religious divisions in Europe during the 16th century?,0.6829210526315788,"The Protestant Reformation primarily resulted in the significant fragmentation of religious unity in Europe during the 16th century, creating distinct Catholic and Protestant divisions. The Peace of Augsburg in 1555 was a pivotal moment that formalized this division by splitting the German states into Catholic and Protestant territories, establishing a precedent for state-sponsored religious affiliation. Regions such as Scandinavia largely adopted Lutheranism, while areas like Austria, Hungary, and Poland remained Catholic with notable Calvinist and Lutheran minorities. This division not only altered the religious landscape but also fostered a variety of Protestant sects, including Presbyterians in Scotland and Puritans in England, leading to further diversification of beliefs and practices.","The primary outcome of the Protestant Reformation in the 16th century was the significant religious fragmentation of Europe. Initiated by figures like Martin Luther and John Calvin, the Reformation challenged the authority and doctrines of the Roman Catholic Church, leading to the establishment of various Protestant denominations such as Lutheranism, Calvinism, and Anglicanism. This religious upheaval ended the religious monopoly of the Catholic Church in Western Europe, resulting in deep divisions and conflicts between Catholic and Protestant states. It also prompted the Catholic Counter-Reformation, further entrenching denominational differences and reshaping the political and religious landscape of Europe.",0.5
1954,Who was a prominent figure in the Algerian liberation movement?,0.7251499999999999,"Another significant figure in the Algerian liberation movement is **Djamila Bouhired**, whose experiences highlight the brutal realities of colonial oppression. Bouhired's journey began in her youth when she protested against the colonial narrative by proclaiming her allegiance to Algeria instead of France. Her commitment to the cause led to her arrest for the bombing that resulted in civilian casualties. During her trial, the case became sensational as Jacques Verges, her defense attorney, turned the tables on the colonial officials, challenging their role in the violence. Despite facing the death penalty, Bouhired's story is marked by resilience, as activist campaigns, including the influence of Moroccan royalty, ultimately secured her survival, leading to her release in 1962 after Algeria achieved independence.","A prominent figure in the Algerian liberation movement was Ahmed Ben Bella. He was a key leader in the National Liberation Front (FLN), which spearheaded the struggle against French colonial rule in Algeria. Ben Bella played a crucial role in organizing resistance efforts and was instrumental in gaining international support for Algeria’s independence. After Algeria achieved independence in 1962, he became the country’s first Prime Minister and later its first President. His leadership and dedication made him a symbol of Algerian nationalism and the broader anti-colonial movement in Africa during the mid-20th century.",0
1925,What were the key effects of the automobile and film industries on American social dynamics during the interwar period?,0.7274473684210523,"During the interwar period, both the automobile and film industries played vital roles in shaping American social dynamics in contrasting yet complementary ways. The rise of the automobile, particularly through Ford's assembly line production, not only increased employment but also significantly enhanced the leisure time of Americans. The newfound ability to travel freely helped break down geographical and social barriers, allowing for a more mobile and interconnected society. People could engage with different communities, fostering interactions that were previously limited by distance.

Conversely, the film industry, largely centered in Hollywood, provided a platform for cultural expression and escapism during the turbulent times of the 1920s and 1930s. The affordability of films, combined with the popularity of stars and genres, created a shared cultural fabric that united various demographics. However, it’s important to note that early cinema also reflected societal tensions, such as the portrayal of racial issues in films like D. W. Griffith’s Birth of a Nation, highlighting both the entertainment value and the underlying social challenges of the era.","During the interwar period, the automobile and film industries profoundly reshaped American social dynamics. Automobiles revolutionized mobility, enabling suburban growth, greater independence, and the rise of a consumer culture centered on freedom and status. Cars facilitated new leisure activities and altered dating practices, contributing to shifts in social norms. The film industry, centered in Hollywood, emerged as a dominant cultural force, spreading shared values, fashions, and ideals through mass entertainment. Movies influenced attitudes toward gender roles, race, and modernity, while fostering a sense of national identity and escapism during economic hardships. Together, these industries accelerated social modernization and cultural cohesion in America.",0.5
1957,What was the initial sentence given to Bouhired after her conviction for bombing a café?,0.3810999999999999,"Bouhired's initial sentence following her conviction for bombing a café was death by guillotine. This sentence reflects the severity of her conviction, as the café bombing claimed the lives of 11 individuals. The case garnered significant media attention, highlighting the tensions in Algeria during its liberation struggle. However, following international protests and the intervention of influential figures, including Moroccan Princess Laila Ayesha, her fate was later commuted to life imprisonment by President René Coty.","After her conviction for bombing a café during the Algerian War of Independence, Djamila Bouhired was initially sentenced to death. She was accused by the French authorities of participating in a terrorist act that resulted in civilian casualties. Her death sentence became a focal point of international attention and condemnation, leading to widespread campaigns advocating for her release. Eventually, due to mounting pressure and changing political circumstances, her sentence was commuted, and she was spared execution. Bouhired later became a symbol of the Algerian struggle for independence and women's involvement in the liberation movement.",0.5
